Columns: ['序号', '所属模块', '所属环节', '需求描述', '优先级', '需求状态', '推动节奏', '附件', '提出人', '需求方部门', '提出时间', '预计上线时间', '上线完成时间', '需求记录人', '跟进产品经理', '需求跟进人', '备注', '优先级1', '需求状态1', '']
Row 99: ['179', '商品上架', '发布', '待上架页面：\n1）待审核排序:按远到近,把最新创建的款排到后面\n2）可多选店铺', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-03 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 100: ['180', '商品上架', '发布', '商品审核界面，尺寸包装信息批量填写处设置默认值（类似需求93第2点），SKU根据图片品类做映射（AI识别？）', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-04 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 101: ['181', '商品开发', '信息展示', '交互优化：图片浏览点击空白处可退出浏览', 'P2', '待处理', '', '', '罗敏', '', '2026-04-07 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 102: ['182', '运营下单', '下单', '通过API获取temu平台订单数据，替换目前通过爬虫取数导致数据不稳定', 'P2', '待处理', '', '', '梁溢芙', '数据部', '2026-03-25 00:00:00', '', '', '招婉君', '林廷威', '招婉君', '', 'P2', '待处理', '']
Row 103: ['183', '商品开发', '开款', '复色款波段优化：不要跟随首款创建时间和波段，要支持修改（现在是默认跟随原款的波段，且不能单独修改，修改后原款的波段也变了）', 'P1', '待处理', '', '', '范思慧', '', '2026-04-07 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 104: ['184', '商品开发', '信息展示', '现货管理波段显示', 'P2', '待处理', '', '', '钟雨晴', '', '2026-04-07 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 105: ['185', '商品开发', '开款', '待开款任务支持删除', 'P1', '待处理', '重复款的任务堆积，优先级提高', '', '林文杰', '', '2026-04-08 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 106: ['187', '商品开发', '信息展示', 'AIGC选款和AIGC选款结果页面增加SKC搜索', 'P2', '待处理', '', '', '黄旭', '', '2026-04-09 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 107: ['188', '商品开发', '信息展示', '图片更新任务交互优化：目前任务详情中点击任何一张图都是先显示第一张，改成单击哪张图就显示哪张图', 'P2', '待处理', '', '', '苏嘉艳', '', '2026-04-09 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 108: ['189', '商品开发', '信息展示', '开发信息颜色选项：支持模糊搜索', 'P2', '待处理', '', '', '植嘉丽', '', '2026-04-09 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 109: ['191', '商品开发', '开款', '虚拟换衣等AI功能素材图上传：上传图片的地方都要支持复制粘贴上传', 'P2', '待处理', '', '', '李梦', '', '2026-04-10 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 110: ['192', '商品上架', '上架', '非套装商品，取消面料纹理2&面料克重2必填：目前重复删除，比较耗时，影响上架时效', 'P2', '待处理', '必填项是平台返回的，待产研评估', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 111: ['193', '商品上架', '上架', '单个款式做商品回捞，需要多次上架进行价格申报，提高测价通过率', 'P1', '进行中', '预计4月底上线', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P1', '进行中', '']
Row 112: ['194', '商品上架', '上架', '复色款需要支持人工添加“已发布”状态，以标记已经发布过的复色款商品（能自动回捞平台状态更好），设计和上架组都需要看到这个状态', 'P1', '进行中', '和需求119一起做，商品状态同步优先查新增的skc', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P1', '进行中', '']
Row 113: ['195', '商品上架', '上架', '审核排序，由推送时间从远到近倒序展示，便于先推送的先审核', 'P2', '待处理', 'P2优先', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 114: ['196', '商品上架', '上架', '目前复色款会推到待更新或者待审核位置，且有些无复色标签，区分复色比较复杂且耗时，优化一下复色推到上架的位置（统一到待更新或者复色款区）', 'P2', '待处理', 'P2优先', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 115: ['197', '商品上架', '上架', '优化映射关系跟固定值，还有自动生成标题', 'P2', '待处理', 'P2优先', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 116: ['198', '商品开发', '信息展示', '款式管理页面状态栏同一维度需支持多项同时筛选，便于统计', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 117: ['199', '商品上架', '信息展示', '商品列表页面状态栏同一维度支持多项同时筛选，便于查看单月数据', 'P2', '待处理', '', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 118: ['200', '商品上架', '上架', '需要增加导出营销图功能，便于复色款人工上架', 'P2', '进行中', '', '', '陈思华', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '进行中', '']
Row 119: ['201', '商品上架', '上架', '部分款可能需要重新确认信息才能审核，批量审核时需要增加跳过，跳转下一个商品审核', 'P2', '待处理', '', '', '钟蕊', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 120: ['202', '商品上架', '上架', '可选择多店审核&可分品类批量审核', 'P3', '待处理', 'P3优先', '', '', '黄乔霜', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P3', '待处理', '']
Row 121: ['203', '商品上架', '上架', '数据导出：可批量导出明细（里面有平台SPU+平台SPU+平台SKC+图片+品类+店铺+设计师等）', 'P3', '待处理', 'P3优先', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P3', '待处理', '']
Row 122: ['204', '商品上架', '上架', '修图功能，审核时可去水印（对接AI一键去水印？）', 'P3', '待处理', '', '', '黄乔霜', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P3', '待处理', '']
Row 123: ['206', '商品开发', '信息展示', '已上架款式的文本型字段信息更新，需要将信息同步给运营进行修改', 'P1', '待处理', '', '', '巫常雨', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P1', '待处理', '']
Row 124: ['207', '商品开发', '开款', '批量创建款式时，批量填写需要过滤已填充内容的款式，只批量填写空白字段，否则手动调整过的信息会被覆盖', 'P2', '待处理', '', '', '康灶香', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 125: ['208', '商品开发', '开款', '服装换色：颜色选择处增加颜色提取功能', 'P2', '待处理', '', '', '蔡俊敏', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 126: ['209', '商品开发', '信息展示', '开款任务左侧增加序列号', 'P2', '待处理', '', '', '罗爽', '', '2026-04-14 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 127: ['210', '商品开发', '信息展示', '现货管理：增加开发波段和上架波段显示，增加波段&店铺的筛选项', 'P2', '待处理', '', '', '谭康健', '', '2026-04-15 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 128: ['211', '商品开发', '款式管理', '在售跟卖款因无法做货需要转现货款，需要款式类型转换，并对商品列表及店铺后台更新对应天工SKC', 'P2', '待处理', '', '', '黄石兰', '', '2026-04-15 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 129: ['212', '商品开发', '信息展示', 'UI优化：现货管理SKC维度信息不要隐藏，很难每条展开进行查阅', 'P2', '待处理', '', '', '谭康建', '', '2026-04-16 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 130: ['213', '商品开发', '信息展示', '增加面料池使用范围筛选项，用于实时查看数量', 'P2', '待处理', '', '', '植嘉丽', '', '2026-04-17 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 131: ['214', '商品开发', '开款', '制作方式：3D/实物样可前置到开款&款式创建时填写（目前开款完成后需补填开发信息）', 'P2', '待处理', '', '', '叶思彤', '', '2026-04-17 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 132: ['217', '商品上架', '测价环节', 'sdp商品列表页面展示PLM预估价格和精准价格：①预估价格和精准价格都需要在页面里分别展示；②页面能够展示预估价格和精准价格相差20%以上的款，同时支持筛选；③可以根据预估和精准的差值百分比进行筛选', 'P2', '待处理', '', '', '张嘉炜', 'A项目运营', '2026-03-24 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P2', '待处理', '']
Row 133: ['219', '商品上架', '商品管理', '增加商品信息的查询功能，可以查询样衣尺码表和成分（中英文），用于更新平台商品信息', 'P2', '待处理', '', '', '孙士杰', '运营上架组', '2026-04-17 00:00:00', '', '', '招婉君', '林廷威', '', '', 'P2', '待处理', '']
Row 134: ['220', '商品开发', '修图审核', '图片更新任务：修图备注中需要允许添加多张图片备注', 'P2', '待处理', '', '', '周筱璇', '商品开发组', '2026-04-17 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 135: ['221', '商品开发', '款式管理', 'SDP款式管理新增字段&调整字段：\n①【项目来源】：必填，根据用户所属的租户默认填充，不允许手动修改\n枚举值：X项目-时装、A项目-时装\n②原来【款式级别】同步到PLM新字段【款式级别】，枚举值：S级、A级、B级、C级', 'P1', '待处理', '', '', '周小楠/柯梓丽', '商品开发组', '2026-04-20 00:00:00', '', '', '刘健军', '林廷威', '', '', 'P1', '待处理', '']
Row 136: ['222', '商品上架', '商品管理', '商品列表---增加是否测价通过的筛选项、是否完成拆版的筛选项', 'P2', '进行中', '', '', '', '运营上架组', '2026-04-23 00:00:00', '', '', '招婉君', '林廷威', '', '', 'P2', '进行中', '']
Row 137: ['223', '商品上架', '商品管理', '测价通过的状态自动更新：状态=已发布到站点 （或者按照确认价格的时间点）', 'P2', '待处理', '待定，单独拉会', '', '', '运营上架组', '2026-04-23 00:00:00', '', '', '招婉君', '林廷威', '', '', 'P2', '待处理', '']
Row 138: ['224', '商品开发', '款式管理', '款式管理+现货管理：图片更新提醒，飞书通知运营（上架+店铺运营）进行店铺图片更换', 'P2', '待处理', '', '', '林坤', '', '2026-04-24 00:00:00', '', '', '', '', '', '', 'P2', '待处理', '']
Row 139: ['225', '商品开发', '信息展示', '增加路径：款式管理中点击款号生成新页面，不在当前页面跳转', 'P2', '待处理', '', '', '林坤', '', '2026-04-27 00:00:00', '', '', '', '', '', '', '', '', '']
Row 140: ['226', '商品开发', '信息展示', '数据看板：\n1）设计师（个人&组内）待办任务列表（前置款，有版有样款，动销款测价通过设计待拆版/测价通过设计待建bom的待办数量）+点击款号跳转任务页面\n2）有版有样&买手定向类型的款式：需要在SDP同步PLM打版环节的进度，以便跟进样衣开发情况\n3）已测价通过待加站商品等任务列表', 'P2', '待处理', '', '待办任务实时看板需求', '陈曼莉\n范思慧\n黄乔霜', '', '2026-04-28 00:00:00', '', '', '', '', '', '', '', '', '']
Row 141: ['227', '商品开发', '审款', '组长审款页面\n1）AI查重同款数字标识改强调显示（UI优化）\n2）查重增加尺码组区分（标码同款/标码相似款，大码同款/大码相似款）\n3）增加批量淘汰同款快捷键，自动将存在同款的待审款变更为淘汰（支持修正），提交结果时增加确认提交警示', '', '待处理', '', '', '陈曼莉', '', '2026-05-07 00:00:00', '', '', '', '', '', '', '', '', '']
Row 142: ['228', '商品上架', '待上架', '商品审核时支持批量按 3:4 比例扩图 / 补白，适配 Temu 平台要求（类似店小秘 ERP「小秘美图」）', '', '待处理', '', '', '黄乔霜', '', '2026-05-07 00:00:00', '', '', '', '', '', '', '', '', '']
Row 143: ['229', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 144: ['230', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
